idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,0.749541,0.779247,0.000000,1.000000,-48.106927,-0.200000,-52.431661
1,C3,0.295518,0.784977,0.000000,1.000000,-48.106927,-0.200000,-52.431661
2,L1,0.627198,0.320491,0.000000,1.000000,-48.106927,-0.200000,-52.431661
3,L2,0.674921,0.721740,0.000000,1.000000,-48.106927,-0.200000,-52.431661
4,L3,0.262234,0.767682,0.000000,1.000000,-48.106927,-0.200000,-52.431661
5,L4,0.768039,0.781349,0.000000,1.000000,-48.106927,-0.200000,-52.431661
6,L5,0.295518,0.784977,0.000000,1.000000,-48.106927,-0.200000,-52.431661
7,Mi1,0.723266,0.646447,0.000000,1.000000,-48.106927,-0.200000,-52.431661
8,Mi4,0.723266,0.646447,0.000000,1.000000,-48.106927,-0.200000,-52.431661
9,Mi9,0.676752,0.702570,54.815396,1.000000,-48.106927,-0.200000,-52.431661
10,R1-6,0.397301,0.643307,52.750036,1.000000,-48.106927,-0.200000,-52.431661
11,R7,0.632912,0.757982,0.000000,1.000000,-48.106927,-0.200000,-52.431661
12,R8,0.787090,0.646924,0.000000,1.000000,-48.106927,-0.200000,-52.431661
13,T1,0.370261,0.696849,0.000000,1.000000,-48.106927,-0.200000,-52.431661
14,T2,0.292619,0.288683,0.000000,1.000000,-48.106927,-0.200000,-52.431661
15,T2a,0.669026,0.680535,0.000000,1.000000,-48.106927,-0.200000,-52.431661
16,T3,0.669026,0.680535,0.000000,1.000000,-48.106927,-0.200000,-52.431661
17,T4a,0.227764,0.692439,0.000000,1.000000,-48.106927,-0.200000,-52.431661
18,T4b,0.781500,0.516819,0.000000,1.000000,-48.106927,-0.200000,-52.431661
19,T4c,0.613696,0.402061,0.000000,1.000000,-48.106927,-0.200000,-52.431661
20,T4d,0.323338,0.704676,0.188194,1.000000,-48.106927,-0.200000,-52.431661
21,T5a,0.632912,0.757982,0.000000,1.000000,-48.106927,-0.200000,-52.431661
22,T5b,0.746984,0.252583,0.000000,1.000000,-48.106927,-0.200000,-52.431661
23,T5c,0.397301,0.643307,52.750036,1.000000,-48.106927,-0.200000,-52.431661
24,T5d,0.632912,0.757982,0.000000,1.000000,-48.106927,-0.200000,-52.431661
25,Tm1,0.749069,0.711099,0.000000,1.000000,-48.106927,-0.200000,-52.431661
26,Tm2,0.627198,0.320491,0.000000,1.000000,-48.106927,-0.200000,-52.431661
27,Tm20,0.292619,0.288683,0.000000,1.000000,-48.106927,-0.200000,-52.431661
28,Tm21,0.729649,0.304133,0.183529,1.000000,-48.106927,-0.200000,-52.431661
29,Tm3,0.303077,0.230229,0.000000,1.000000,-48.106927,-0.200000,-52.431661
30,Tm4,0.292619,0.288683,0.000000,1.000000,-48.106927,-0.200000,-52.431661
31,Tm9,0.262234,0.767682,0.000000,1.000000,-48.106927,-0.200000,-52.431661
