trace_id,cell_type,panel,contrast,width_led,direction,color,time_ms,vm_mv
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-450.0,0.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-448.0891719745223,0.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-446.1783439490446,0.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-444.26751592356686,0.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-442.35668789808915,0.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-440.44585987261144,0.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-438.5350318471338,0.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-436.62420382165607,0.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-434.71337579617835,0.1
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-432.80254777070064,0.1
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-430.89171974522293,0.2
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-428.9808917197452,0.3
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-427.0700636942675,0.45
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-425.1592356687898,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-423.2484076433121,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-421.3375796178344,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-419.4267515923567,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-417.515923566879,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-415.6050955414013,0.45
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-413.69426751592357,0.45
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-411.78343949044586,0.45
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-409.87261146496814,0.4
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-407.96178343949043,0.3
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-406.0509554140127,0.3
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-402.22929936305735,0.2
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-400.31847133757964,0.2
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-398.4076433121019,0.2
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-396.4968152866242,0.2
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-394.5859872611465,0.2
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-392.6751592356688,0.2
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-388.85350318471336,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-386.94267515923565,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-385.031847133758,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-383.1210191082803,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-381.21019108280257,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-379.29936305732485,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-377.38853503184714,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-375.4777070063694,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-373.5668789808917,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-371.656050955414,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-369.7452229299363,0.55
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-367.8343949044586,0.6
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-365.92356687898086,0.6
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-364.0127388535032,0.6
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-362.1019108280255,0.6
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-360.1910828025478,0.65
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-358.28025477707007,0.7
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-356.36942675159236,0.7
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-354.45859872611464,0.7
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-352.547770700637,0.7
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-350.6369426751593,0.7
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-348.7261146496815,0.7
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-346.81528662420385,0.75
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-344.90445859872614,0.75
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-342.9936305732484,0.75
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-341.0828025477707,0.75
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-339.171974522293,0.8
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-337.2611464968153,0.8
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-335.3503184713376,0.9
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-333.43949044585986,0.9
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-331.52866242038215,0.95
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-329.61783439490443,0.95
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-327.7070063694268,0.95
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-325.796178343949,0.95
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-323.88535031847135,0.95
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-321.9745222929936,0.95
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-320.0636942675159,1.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-318.15286624203816,1.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-316.2420382165605,1.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-314.3312101910828,1.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-312.42038216560513,1.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-310.5095541401274,1.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-308.5987261146497,1.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-306.687898089172,1.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-304.7770700636943,0.9
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-302.86624203821657,0.9
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-300.95541401273886,0.3
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-299.04458598726114,0.3
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-297.13375796178343,0.3
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-295.2229299363057,0.3
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-293.312101910828,0.3
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-289.4904458598726,0.4
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-287.57961783439487,0.4
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-285.66878980891715,0.4
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-283.7579617834395,0.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-276.11464968152865,0.8
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-274.203821656051,0.9
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-268.47133757961785,1.1
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-266.56050955414014,1.15
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-264.6496815286624,1.15
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-262.7388535031847,1.15
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-260.828025477707,1.2
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-258.9171974522293,1.2
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-257.0063694267516,1.25
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-255.0955414012739,1.35
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-253.18471337579615,1.4
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-251.2738853503184,1.45
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-249.36305732484075,1.6
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-247.45222929936304,1.6
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-245.54140127388533,1.75
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-243.6305732484076,1.85
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-241.71974522292993,1.95
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-239.80891719745225,2.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-232.1656050955414,2.65
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-230.25477707006368,2.65
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-228.34394904458597,2.7
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-226.43312101910828,2.7
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-224.52229299363057,2.7
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-222.61146496815283,2.7
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-220.70063694267515,2.85
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-218.78980891719743,3.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-216.87898089171972,3.1
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-214.968152866242,3.25
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-213.05732484076432,3.3
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-211.1464968152866,3.45
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-209.2356687898089,3.6
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-207.3248407643312,3.7
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-205.4140127388535,3.85
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-203.5031847133758,3.95
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-201.59235668789808,4.1
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-199.68152866242036,4.15
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-197.7707006369427,4.25
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-195.85987261146497,4.3
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-193.94904458598728,4.35
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-192.03821656050957,4.45
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-190.12738853503186,4.45
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-188.21656050955414,4.55
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-186.30573248407637,4.65
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-184.39490445859872,4.75
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-182.484076433121,4.9
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-180.57324840764335,5.05
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-178.66242038216558,5.2
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-176.75159235668792,5.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-174.8407643312102,5.7
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-172.9299363057325,5.9
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-171.01910828025478,6.1
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-169.10828025477707,6.35
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-167.19745222929942,6.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-165.2866242038217,6.75
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-163.375796178344,6.9
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-161.46496815286628,7.0
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-159.55414012738856,7.05
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-157.64331210191085,7.2
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-155.73248407643314,7.35
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-153.82165605095543,7.4
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-151.9108280254777,7.5
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-150.00000000000006,7.65
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-148.08917197452234,7.95
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-146.17834394904463,8.15
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-144.26751592356692,8.45
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-142.3566878980892,8.7
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-140.4458598726115,9.05
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-138.53503184713378,9.45
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-136.62420382165607,9.85
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-134.71337579617835,10.15
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-132.8025477707007,10.45
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-130.89171974522299,10.65
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-128.98089171974527,10.95
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-127.07006369426756,11.15
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-125.1592356687899,11.45
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-123.24840764331213,11.7
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-121.33757961783442,11.85
T4_PC_w1_PD,T4,Ci,PC,1,PD,red,-119.42675159235671,12.05
