idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,72.634444,8.141769,0.000000,1.000000,-48.917191,-0.400000,-41.684618
1,C3,0.100000,1.001395,0.000000,1.000000,-48.917191,-0.400000,-41.684618
2,L1,52.877331,1.518362,0.000000,1.000000,-48.917191,-0.400000,-41.684618
3,L2,1.780394,0.100000,0.000000,1.000000,-48.917191,-0.400000,-41.684618
4,L3,17.575096,8.293282,0.000000,1.000000,-48.917191,-0.400000,-41.684618
5,L4,0.262022,3.667872,0.000000,1.000000,-48.917191,-0.400000,-41.684618
6,L5,0.100000,1.001395,0.000000,1.000000,-48.917191,-0.400000,-41.684618
7,Mi1,65.646726,0.685473,0.000000,1.000000,-48.917191,-0.400000,-41.684618
8,Mi4,65.646726,0.685473,0.000000,1.000000,-48.917191,-0.400000,-41.684618
9,Mi9,1.698233,2.182965,100.000000,1.000000,-48.917191,-0.400000,-41.684618
10,R1-6,5.461950,3.181535,70.417990,1.000000,-48.917191,-0.400000,-41.684618
11,R7,37.945681,0.431061,0.000000,1.000000,-48.917191,-0.400000,-41.684618
12,R8,0.100000,0.100000,0.000000,1.000000,-48.917191,-0.400000,-41.684618
13,T1,0.102768,4.555230,0.000000,1.000000,-48.917191,-0.400000,-41.684618
14,T2,70.593844,0.100000,0.000000,1.000000,-48.917191,-0.400000,-41.684618
15,T2a,0.997322,5.476412,0.000000,1.000000,-48.917191,-0.400000,-41.684618
16,T3,0.997322,5.476412,0.000000,1.000000,-48.917191,-0.400000,-41.684618
17,T4a,0.111966,4.008309,0.000000,1.000000,-48.917191,-0.400000,-41.684618
18,T4b,1.430870,0.100000,0.000000,1.000000,-48.917191,-0.400000,-41.684618
19,T4c,8.313158,0.916793,0.000000,1.000000,-48.917191,-0.400000,-41.684618
20,T4d,1.841641,4.764111,0.000000,1.000000,-48.917191,-0.400000,-41.684618
21,T5a,37.945681,0.431061,0.000000,1.000000,-48.917191,-0.400000,-41.684618
22,T5b,65.939147,0.100000,0.000000,1.000000,-48.917191,-0.400000,-41.684618
23,T5c,5.461950,3.181535,70.417990,1.000000,-48.917191,-0.400000,-41.684618
24,T5d,37.945681,0.431061,0.000000,1.000000,-48.917191,-0.400000,-41.684618
25,Tm1,42.452716,0.100000,0.000000,1.000000,-48.917191,-0.400000,-41.684618
26,Tm2,52.877331,1.518362,0.000000,1.000000,-48.917191,-0.400000,-41.684618
27,Tm20,70.593844,0.100000,0.000000,1.000000,-48.917191,-0.400000,-41.684618
28,Tm21,4.395165,0.524935,15.718883,1.000000,-48.917191,-0.400000,-41.684618
29,Tm3,75.306084,0.682377,0.000000,1.000000,-48.917191,-0.400000,-41.684618
30,Tm4,70.593844,0.100000,0.000000,1.000000,-48.917191,-0.400000,-41.684618
31,Tm9,17.575096,8.293282,0.000000,1.000000,-48.917191,-0.400000,-41.684618
