idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,0.599898,0.628436,0.000000,1.000000,-47.872771,-0.200000,-52.493922
1,C3,0.339286,0.650569,0.000000,1.000000,-47.872771,-0.200000,-52.493922
2,L1,0.576905,0.362417,0.000000,1.000000,-47.872771,-0.200000,-52.493922
3,L2,0.650819,0.655938,0.000000,1.000000,-47.872771,-0.200000,-52.493922
4,L3,0.399717,0.676832,0.000000,1.000000,-47.872771,-0.200000,-52.493922
5,L4,0.583142,0.694477,0.000000,1.000000,-47.872771,-0.200000,-52.493922
6,L5,0.339286,0.650569,0.000000,1.000000,-47.872771,-0.200000,-52.493922
7,Mi1,0.556156,0.501642,0.000000,1.000000,-47.872771,-0.200000,-52.493922
8,Mi4,0.556156,0.501642,0.000000,1.000000,-47.872771,-0.200000,-52.493922
9,Mi9,0.520129,0.664075,46.550062,1.000000,-47.872771,-0.200000,-52.493922
10,R1-6,0.318912,0.567116,54.680074,1.000000,-47.872771,-0.200000,-52.493922
11,R7,0.565259,0.580270,0.000000,1.000000,-47.872771,-0.200000,-52.493922
12,R8,0.694662,0.695408,0.000000,1.000000,-47.872771,-0.200000,-52.493922
13,T1,0.494856,0.618825,0.000000,1.000000,-47.872771,-0.200000,-52.493922
14,T2,0.400809,0.464101,0.000000,1.000000,-47.872771,-0.200000,-52.493922
15,T2a,0.552254,0.587478,0.000000,1.000000,-47.872771,-0.200000,-52.493922
16,T3,0.552254,0.587478,0.000000,1.000000,-47.872771,-0.200000,-52.493922
17,T4a,0.423929,0.525608,0.000000,1.000000,-47.872771,-0.200000,-52.493922
18,T4b,0.526279,0.459440,0.000000,1.000000,-47.872771,-0.200000,-52.493922
19,T4c,0.546555,0.351286,0.000000,1.000000,-47.872771,-0.200000,-52.493922
20,T4d,0.470301,0.698353,0.100000,1.000000,-47.872771,-0.200000,-52.493922
21,T5a,0.565259,0.580270,0.000000,1.000000,-47.872771,-0.200000,-52.493922
22,T5b,0.640666,0.464023,0.000000,1.000000,-47.872771,-0.200000,-52.493922
23,T5c,0.318912,0.567116,54.680074,1.000000,-47.872771,-0.200000,-52.493922
24,T5d,0.565259,0.580270,0.000000,1.000000,-47.872771,-0.200000,-52.493922
25,Tm1,0.611505,0.658043,0.000000,1.000000,-47.872771,-0.200000,-52.493922
26,Tm2,0.576905,0.362417,0.000000,1.000000,-47.872771,-0.200000,-52.493922
27,Tm20,0.400809,0.464101,0.000000,1.000000,-47.872771,-0.200000,-52.493922
28,Tm21,0.524320,0.356601,0.100000,1.000000,-47.872771,-0.200000,-52.493922
29,Tm3,0.458661,0.477997,0.000000,1.000000,-47.872771,-0.200000,-52.493922
30,Tm4,0.400809,0.464101,0.000000,1.000000,-47.872771,-0.200000,-52.493922
31,Tm9,0.399717,0.676832,0.000000,1.000000,-47.872771,-0.200000,-52.493922
