idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,0.755804,0.100000,0.000000,1.000000,-51.091474,-0.200000,-50.010045
1,C3,1.180019,0.373047,0.000000,1.000000,-51.091474,-0.200000,-50.010045
2,L1,6.100495,0.136994,0.000000,1.000000,-51.091474,-0.200000,-50.010045
3,L2,0.540931,0.522545,0.000000,1.000000,-51.091474,-0.200000,-50.010045
4,L3,0.625597,0.610554,0.000000,1.000000,-51.091474,-0.200000,-50.010045
5,L4,2.996425,3.107952,0.000000,1.000000,-51.091474,-0.200000,-50.010045
6,L5,1.180019,0.373047,0.000000,1.000000,-51.091474,-0.200000,-50.010045
7,Mi1,1.855017,0.100000,0.000000,1.000000,-51.091474,-0.200000,-50.010045
8,Mi4,1.855017,0.100000,0.000000,1.000000,-51.091474,-0.200000,-50.010045
9,Mi9,1.903244,0.853024,46.491357,1.000000,-51.091474,-0.200000,-50.010045
10,R1-6,2.231436,0.373989,52.658579,1.000000,-51.091474,-0.200000,-50.010045
11,R7,0.357216,0.115301,0.000000,1.000000,-51.091474,-0.200000,-50.010045
12,R8,0.592083,1.027697,0.000000,1.000000,-51.091474,-0.200000,-50.010045
13,T1,0.665724,3.232470,0.000000,1.000000,-51.091474,-0.200000,-50.010045
14,T2,6.171466,2.298551,0.000000,1.000000,-51.091474,-0.200000,-50.010045
15,T2a,0.353724,0.513749,0.000000,1.000000,-51.091474,-0.200000,-50.010045
16,T3,0.353724,0.513749,0.000000,1.000000,-51.091474,-0.200000,-50.010045
17,T4a,1.308523,0.773481,0.000000,1.000000,-51.091474,-0.200000,-50.010045
18,T4b,0.402481,0.576904,0.000000,1.000000,-51.091474,-0.200000,-50.010045
19,T4c,0.734125,0.456798,0.000000,1.000000,-51.091474,-0.200000,-50.010045
20,T4d,1.891723,0.281765,3.238730,1.000000,-51.091474,-0.200000,-50.010045
21,T5a,0.357216,0.115301,0.000000,1.000000,-51.091474,-0.200000,-50.010045
22,T5b,1.788016,11.149679,0.000000,1.000000,-51.091474,-0.200000,-50.010045
23,T5c,2.231436,0.373989,52.658579,1.000000,-51.091474,-0.200000,-50.010045
24,T5d,0.357216,0.115301,0.000000,1.000000,-51.091474,-0.200000,-50.010045
25,Tm1,1.357431,0.100000,0.000000,1.000000,-51.091474,-0.200000,-50.010045
26,Tm2,6.100495,0.136994,0.000000,1.000000,-51.091474,-0.200000,-50.010045
27,Tm20,6.171466,2.298551,0.000000,1.000000,-51.091474,-0.200000,-50.010045
28,Tm21,7.723569,0.100000,0.001323,1.000000,-51.091474,-0.200000,-50.010045
29,Tm3,5.361224,7.054961,0.000000,1.000000,-51.091474,-0.200000,-50.010045
30,Tm4,6.171466,2.298551,0.000000,1.000000,-51.091474,-0.200000,-50.010045
31,Tm9,0.625597,0.610554,0.000000,1.000000,-51.091474,-0.200000,-50.010045
