idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,1.732750,2.464105,0.000000,1.000000,-52.485941,-0.400000,-46.993293
1,C3,0.100000,2.648312,0.000000,1.000000,-52.485941,-0.400000,-46.993293
2,L1,1.775345,0.616250,0.000000,1.000000,-52.485941,-0.400000,-46.993293
3,L2,2.304632,1.819541,0.000000,1.000000,-52.485941,-0.400000,-46.993293
4,L3,2.868708,0.621423,0.000000,1.000000,-52.485941,-0.400000,-46.993293
5,L4,2.226993,4.386692,0.000000,1.000000,-52.485941,-0.400000,-46.993293
6,L5,0.100000,2.648312,0.000000,1.000000,-52.485941,-0.400000,-46.993293
7,Mi1,1.918852,2.638378,0.000000,1.000000,-52.485941,-0.400000,-46.993293
8,Mi4,1.918852,2.638378,0.000000,1.000000,-52.485941,-0.400000,-46.993293
9,Mi9,1.725011,1.754374,48.641726,1.000000,-52.485941,-0.400000,-46.993293
10,R1-6,2.512392,1.510513,46.236445,1.000000,-52.485941,-0.400000,-46.993293
11,R7,1.557084,1.579194,0.000000,1.000000,-52.485941,-0.400000,-46.993293
12,R8,1.706819,3.045503,0.000000,1.000000,-52.485941,-0.400000,-46.993293
13,T1,0.464307,3.983552,0.000000,1.000000,-52.485941,-0.400000,-46.993293
14,T2,0.629562,0.100000,0.000000,1.000000,-52.485941,-0.400000,-46.993293
15,T2a,2.008761,4.786377,0.000000,1.000000,-52.485941,-0.400000,-46.993293
16,T3,2.008761,4.786377,0.000000,1.000000,-52.485941,-0.400000,-46.993293
17,T4a,0.100000,2.746908,0.000000,1.000000,-52.485941,-0.400000,-46.993293
18,T4b,2.311057,0.574776,0.000000,1.000000,-52.485941,-0.400000,-46.993293
19,T4c,0.100000,0.377519,0.000000,1.000000,-52.485941,-0.400000,-46.993293
20,T4d,0.799494,4.535035,1.603970,1.000000,-52.485941,-0.400000,-46.993293
21,T5a,1.557084,1.579194,0.000000,1.000000,-52.485941,-0.400000,-46.993293
22,T5b,1.717080,0.278566,0.000000,1.000000,-52.485941,-0.400000,-46.993293
23,T5c,2.512392,1.510513,46.236445,1.000000,-52.485941,-0.400000,-46.993293
24,T5d,1.557084,1.579194,0.000000,1.000000,-52.485941,-0.400000,-46.993293
25,Tm1,1.591410,2.302650,0.000000,1.000000,-52.485941,-0.400000,-46.993293
26,Tm2,1.775345,0.616250,0.000000,1.000000,-52.485941,-0.400000,-46.993293
27,Tm20,0.629562,0.100000,0.000000,1.000000,-52.485941,-0.400000,-46.993293
28,Tm21,3.528745,2.615635,0.159169,1.000000,-52.485941,-0.400000,-46.993293
29,Tm3,2.364659,0.175326,0.000000,1.000000,-52.485941,-0.400000,-46.993293
30,Tm4,0.629562,0.100000,0.000000,1.000000,-52.485941,-0.400000,-46.993293
31,Tm9,2.868708,0.621423,0.000000,1.000000,-52.485941,-0.400000,-46.993293
