idx,ctype,inp_gain,out_gain,tau_m,bias,adapt_gain,tau_adapt,out_scale,gate_pivot
0,R1,0.632919,0.705237,48.644714,-0.214829,0.000000,10.000000,1.006002,0.500000
1,R2,0.509082,0.612981,52.992508,-0.199240,0.000000,10.000000,0.999349,0.500000
2,R3,0.410802,0.743460,46.061113,-0.141759,0.000000,10.000000,1.097164,0.500000
3,R4,0.641804,0.760990,54.459837,-0.196650,0.000000,10.000000,1.001660,0.500000
4,R5,0.625106,0.756736,47.873333,-0.184075,0.000000,10.000000,0.972799,0.500000
5,R6,0.487214,0.639989,52.328375,-0.225006,0.000000,10.000000,1.008763,0.500000
6,R7,0.220623,0.713201,52.921933,0.117640,0.000000,10.000000,0.987695,0.500000
7,R8,0.374946,0.605526,50.393751,-0.156308,0.000000,10.000000,1.032812,0.500000
8,L1,0.627518,0.624954,53.620419,0.198223,0.048981,93.547198,1.028456,0.500000
9,L2,0.794127,0.646852,51.907052,0.226305,-0.041341,92.144167,1.002122,0.500000
10,L3,0.698613,0.745477,45.184260,0.179258,0.031562,105.227443,1.002256,0.500000
11,L4,0.521587,0.493390,45.910412,-0.073251,-0.070265,108.440739,1.009387,0.500000
12,L5,0.797592,0.709336,51.803669,0.172033,0.147507,94.732929,1.007824,0.500000
13,Lawf1,0.491583,0.577600,49.837467,0.116389,0.000000,10.000000,0.953511,0.500000
14,Lawf2,0.451890,0.556631,46.656281,-0.033801,0.000000,10.000000,0.982351,0.500000
15,Am,0.630491,0.260765,53.614359,-0.120953,0.000000,10.000000,1.104625,0.500000
16,C2,0.395730,0.663603,54.290048,0.216715,0.000000,10.000000,1.171991,0.500000
17,C3,0.446097,0.514980,47.865885,-0.007473,0.000000,10.000000,1.112526,0.500000
18,CT1(Lo1),0.462728,0.560427,48.278659,-0.007765,0.000000,10.000000,0.995035,0.500000
19,CT1(M10),0.458452,0.535184,48.319055,-0.038504,0.000000,10.000000,1.184980,0.500000
20,Mi1,0.723153,0.502612,51.865747,-0.007644,0.000000,10.000000,0.822417,0.500000
21,Mi2,0.554947,0.525530,49.335445,-0.045292,0.000000,10.000000,0.956380,0.500000
22,Mi3,0.441677,0.467216,47.834507,0.020574,0.000000,10.000000,0.975299,0.500000
23,Mi4,0.735894,0.560700,54.606095,-0.023114,0.000000,10.000000,0.954456,0.500000
24,Mi9,0.489739,0.393382,53.706985,-0.123639,0.000000,10.000000,1.175386,0.500000
25,Mi10,0.516086,0.513309,52.398024,-0.046222,0.000000,10.000000,0.985537,0.500000
26,Mi11,0.529202,0.566728,52.152624,-0.028757,0.000000,10.000000,1.199203,0.500000
27,Mi12,0.502534,0.397705,47.450461,-0.020199,0.000000,10.000000,1.199635,0.500000
28,Mi13,0.511758,0.462540,51.270550,-0.028455,0.000000,10.000000,1.199412,0.500000
29,Mi14,0.506207,0.546811,53.581243,-0.039455,0.000000,10.000000,0.946421,0.500000
30,Mi15,0.733144,0.664220,45.268528,0.222281,0.000000,10.000000,1.198949,0.500000
31,T1,0.523596,0.466950,53.088372,-0.049427,0.000000,10.000000,1.195205,0.500000
32,T2,0.475071,0.544547,52.761239,-0.001659,0.000000,10.000000,1.184505,0.500000
33,T2a,0.453095,0.565235,48.573750,-0.038199,0.000000,10.000000,1.199367,0.500000
34,T3,0.512620,0.462762,53.803729,-0.034286,0.000000,10.000000,0.946063,0.500000
35,T4a,0.581218,0.456301,47.987073,-0.130543,0.000000,10.000000,1.175715,0.500000
36,T4b,0.575618,0.487826,47.297110,-0.035598,0.000000,10.000000,1.176016,0.500000
37,T4c,0.541367,0.433021,48.956369,-0.041700,0.000000,10.000000,1.174846,0.500000
38,T4d,0.562701,0.449544,46.072809,0.006207,0.000000,10.000000,1.194041,0.500000
39,T5a,0.546533,0.483133,46.131368,0.010236,0.000000,10.000000,0.953511,0.500000
40,T5b,0.414489,0.407114,49.920922,-0.007552,0.000000,10.000000,0.982351,0.500000
41,T5c,0.426805,0.502616,46.942554,-0.017969,0.000000,10.000000,1.104625,0.500000
42,T5d,0.503702,0.532194,50.444281,-0.010086,0.000000,10.000000,1.171991,0.500000
43,Tm1,0.677769,0.508899,45.765201,0.070643,0.000000,10.000000,1.112526,0.500000
44,Tm2,0.762161,0.593102,49.769858,-0.007954,0.000000,10.000000,0.995035,0.500000
45,Tm3,0.739134,0.489690,51.946987,-0.023097,0.000000,10.000000,1.184980,0.500000
46,Tm4,0.752847,0.308542,47.349491,0.191689,0.000000,10.000000,0.822417,0.500000
