idx,ctype,inp_gain,out_gain,tau_m,bias,adapt_gain,tau_adapt,out_scale,gate_pivot
47,Tm5Y,0.439409,0.546877,53.234682,0.023924,0.000000,10.000000,0.956380,0.500000
48,Tm5a,0.483275,0.439344,46.862525,0.045882,0.000000,10.000000,0.975299,0.500000
49,Tm5b,0.567952,0.585296,45.322502,-0.020647,0.000000,10.000000,0.954456,0.500000
50,Tm5c,0.752350,0.750523,53.224115,-0.105706,0.000000,10.000000,1.175386,0.500000
51,Tm9,0.633173,0.594440,49.126584,-0.013502,0.000000,10.000000,0.985537,0.500000
52,Tm16,0.579270,0.397654,53.053536,-0.141066,0.000000,10.000000,1.006002,0.500000
53,Tm20,0.698798,0.681732,46.674240,-0.131433,0.000000,10.000000,0.999349,0.500000
54,Tm28,0.511548,0.461011,49.758813,0.015735,0.000000,10.000000,1.097164,0.500000
55,Tm30,0.423722,0.485470,53.286568,-0.030854,0.000000,10.000000,1.001660,0.500000
56,TmY3,0.496322,0.423566,52.576689,-0.015233,0.000000,10.000000,0.972799,0.500000
57,TmY4,0.529539,0.522786,45.420047,-0.007994,0.000000,10.000000,1.008763,0.500000
58,TmY5a,0.438921,0.541582,53.387095,0.041160,0.000000,10.000000,0.987695,0.500000
59,TmY9,0.538765,0.597440,45.058271,0.039056,0.000000,10.000000,1.032812,0.500000
60,TmY10,0.245209,0.352982,54.085288,0.206400,0.000000,10.000000,1.028456,0.500000
61,TmY13,0.567118,0.412868,49.575231,-0.031399,0.000000,10.000000,1.002122,0.500000
62,TmY14,0.422769,0.558089,50.135912,0.159253,0.000000,10.000000,1.002256,0.500000
63,TmY15,0.435958,0.523909,53.294413,-0.036758,0.000000,10.000000,1.009387,0.500000
64,TmY18,0.558096,0.526878,49.845723,0.215191,0.000000,10.000000,1.007824,0.500000
