idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,0.659806,0.577910,0.000000,1.000000,-48.016930,-0.200000,-51.027095
1,C3,0.477979,0.550633,0.000000,1.000000,-48.016930,-0.200000,-51.027095
2,L1,0.635614,0.378140,0.000000,1.000000,-48.016930,-0.200000,-51.027095
3,L2,0.658978,0.689921,0.000000,1.000000,-48.016930,-0.200000,-51.027095
4,L3,0.463744,0.544419,0.000000,1.000000,-48.016930,-0.200000,-51.027095
5,L4,0.539067,0.689066,0.000000,1.000000,-48.016930,-0.200000,-51.027095
6,L5,0.477979,0.550633,0.000000,1.000000,-48.016930,-0.200000,-51.027095
7,Mi1,0.658553,0.548704,0.000000,1.000000,-48.016930,-0.200000,-51.027095
8,Mi4,0.658553,0.548704,0.000000,1.000000,-48.016930,-0.200000,-51.027095
9,Mi9,0.607147,0.627304,50.633080,1.000000,-48.016930,-0.200000,-51.027095
10,R1-6,0.440887,0.508424,46.384752,1.000000,-48.016930,-0.200000,-51.027095
11,R7,0.644947,0.650241,0.000000,1.000000,-48.016930,-0.200000,-51.027095
12,R8,0.510895,0.669006,0.000000,1.000000,-48.016930,-0.200000,-51.027095
13,T1,0.366612,0.544158,0.000000,1.000000,-48.016930,-0.200000,-51.027095
14,T2,0.496266,0.414060,0.000000,1.000000,-48.016930,-0.200000,-51.027095
15,T2a,0.641738,0.561623,0.000000,1.000000,-48.016930,-0.200000,-51.027095
16,T3,0.641738,0.561623,0.000000,1.000000,-48.016930,-0.200000,-51.027095
17,T4a,0.427329,0.674248,0.000000,1.000000,-48.016930,-0.200000,-51.027095
18,T4b,0.664147,0.550251,0.000000,1.000000,-48.016930,-0.200000,-51.027095
19,T4c,0.511351,0.488804,0.000000,1.000000,-48.016930,-0.200000,-51.027095
20,T4d,0.480156,0.629249,0.100000,1.000000,-48.016930,-0.200000,-51.027095
21,T5a,0.644947,0.650241,0.000000,1.000000,-48.016930,-0.200000,-51.027095
22,T5b,0.617671,0.305299,0.000000,1.000000,-48.016930,-0.200000,-51.027095
23,T5c,0.440887,0.508424,46.384752,1.000000,-48.016930,-0.200000,-51.027095
24,T5d,0.644947,0.650241,0.000000,1.000000,-48.016930,-0.200000,-51.027095
25,Tm1,0.635304,0.622030,0.000000,1.000000,-48.016930,-0.200000,-51.027095
26,Tm2,0.635614,0.378140,0.000000,1.000000,-48.016930,-0.200000,-51.027095
27,Tm20,0.496266,0.414060,0.000000,1.000000,-48.016930,-0.200000,-51.027095
28,Tm21,0.646926,0.383403,0.100000,1.000000,-48.016930,-0.200000,-51.027095
29,Tm3,0.321607,0.406913,0.000000,1.000000,-48.016930,-0.200000,-51.027095
30,Tm4,0.496266,0.414060,0.000000,1.000000,-48.016930,-0.200000,-51.027095
31,Tm9,0.463744,0.544419,0.000000,1.000000,-48.016930,-0.200000,-51.027095
