idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,1.924936,2.487140,0.000000,1.000000,-50.962583,-0.400000,-41.496862
1,C3,0.100000,3.949725,0.000000,1.000000,-50.962583,-0.400000,-41.496862
2,L1,2.017373,1.525179,0.000000,1.000000,-50.962583,-0.400000,-41.496862
3,L2,2.563017,2.494760,0.000000,1.000000,-50.962583,-0.400000,-41.496862
4,L3,2.070110,0.413875,0.000000,1.000000,-50.962583,-0.400000,-41.496862
5,L4,2.002300,3.477870,0.000000,1.000000,-50.962583,-0.400000,-41.496862
6,L5,0.100000,3.949725,0.000000,1.000000,-50.962583,-0.400000,-41.496862
7,Mi1,1.902997,2.871488,0.000000,1.000000,-50.962583,-0.400000,-41.496862
8,Mi4,1.902997,2.871488,0.000000,1.000000,-50.962583,-0.400000,-41.496862
9,Mi9,2.367018,1.709409,48.664098,1.000000,-50.962583,-0.400000,-41.496862
10,R1-6,2.452655,1.684178,52.218539,1.000000,-50.962583,-0.400000,-41.496862
11,R7,1.543133,0.100000,0.000000,1.000000,-50.962583,-0.400000,-41.496862
12,R8,1.621350,1.772481,0.000000,1.000000,-50.962583,-0.400000,-41.496862
13,T1,0.119458,2.453107,0.000000,1.000000,-50.962583,-0.400000,-41.496862
14,T2,0.100000,0.100000,0.000000,1.000000,-50.962583,-0.400000,-41.496862
15,T2a,1.712893,2.261560,0.000000,1.000000,-50.962583,-0.400000,-41.496862
16,T3,1.712893,2.261560,0.000000,1.000000,-50.962583,-0.400000,-41.496862
17,T4a,0.100000,2.716570,0.000000,1.000000,-50.962583,-0.400000,-41.496862
18,T4b,2.420602,2.364106,0.000000,1.000000,-50.962583,-0.400000,-41.496862
19,T4c,1.327117,0.100000,0.000000,1.000000,-50.962583,-0.400000,-41.496862
20,T4d,0.225380,1.678876,0.934391,1.000000,-50.962583,-0.400000,-41.496862
21,T5a,1.543133,0.100000,0.000000,1.000000,-50.962583,-0.400000,-41.496862
22,T5b,1.588171,0.100000,0.000000,1.000000,-50.962583,-0.400000,-41.496862
23,T5c,2.452655,1.684178,52.218539,1.000000,-50.962583,-0.400000,-41.496862
24,T5d,1.543133,0.100000,0.000000,1.000000,-50.962583,-0.400000,-41.496862
25,Tm1,1.836362,2.361632,0.000000,1.000000,-50.962583,-0.400000,-41.496862
26,Tm2,2.017373,1.525179,0.000000,1.000000,-50.962583,-0.400000,-41.496862
27,Tm20,0.100000,0.100000,0.000000,1.000000,-50.962583,-0.400000,-41.496862
28,Tm21,3.254698,2.897689,0.405969,1.000000,-50.962583,-0.400000,-41.496862
29,Tm3,2.239471,0.472180,0.000000,1.000000,-50.962583,-0.400000,-41.496862
30,Tm4,0.100000,0.100000,0.000000,1.000000,-50.962583,-0.400000,-41.496862
31,Tm9,2.070110,0.413875,0.000000,1.000000,-50.962583,-0.400000,-41.496862
