idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,0.609663,0.783766,0.000000,1.000000,-48.434534,-0.200000,-51.366633
1,C3,0.324437,0.604781,0.000000,1.000000,-48.434534,-0.200000,-51.366633
2,L1,0.653777,0.390463,0.000000,1.000000,-48.434534,-0.200000,-51.366633
3,L2,0.653500,0.634108,0.000000,1.000000,-48.434534,-0.200000,-51.366633
4,L3,0.541665,0.270130,0.000000,1.000000,-48.434534,-0.200000,-51.366633
5,L4,0.778293,0.686613,0.000000,1.000000,-48.434534,-0.200000,-51.366633
6,L5,0.324437,0.604781,0.000000,1.000000,-48.434534,-0.200000,-51.366633
7,Mi1,0.599183,0.678076,0.000000,1.000000,-48.434534,-0.200000,-51.366633
8,Mi4,0.599183,0.678076,0.000000,1.000000,-48.434534,-0.200000,-51.366633
9,Mi9,0.616912,0.775291,50.530303,1.000000,-48.434534,-0.200000,-51.366633
10,R1-6,0.330452,0.786435,52.253272,1.000000,-48.434534,-0.200000,-51.366633
11,R7,0.690415,0.693430,0.000000,1.000000,-48.434534,-0.200000,-51.366633
12,R8,0.737968,0.730563,0.000000,1.000000,-48.434534,-0.200000,-51.366633
13,T1,0.273764,0.654065,0.000000,1.000000,-48.434534,-0.200000,-51.366633
14,T2,0.349653,0.321234,0.000000,1.000000,-48.434534,-0.200000,-51.366633
15,T2a,0.615130,0.785800,0.000000,1.000000,-48.434534,-0.200000,-51.366633
16,T3,0.615130,0.785800,0.000000,1.000000,-48.434534,-0.200000,-51.366633
17,T4a,0.335736,0.726785,0.000000,1.000000,-48.434534,-0.200000,-51.366633
18,T4b,0.672345,0.740421,0.000000,1.000000,-48.434534,-0.200000,-51.366633
19,T4c,0.617788,0.262056,0.000000,1.000000,-48.434534,-0.200000,-51.366633
20,T4d,0.368530,0.607110,0.194126,1.000000,-48.434534,-0.200000,-51.366633
21,T5a,0.690415,0.693430,0.000000,1.000000,-48.434534,-0.200000,-51.366633
22,T5b,0.652483,0.264191,0.000000,1.000000,-48.434534,-0.200000,-51.366633
23,T5c,0.330452,0.786435,52.253272,1.000000,-48.434534,-0.200000,-51.366633
24,T5d,0.690415,0.693430,0.000000,1.000000,-48.434534,-0.200000,-51.366633
25,Tm1,0.636503,0.668210,0.000000,1.000000,-48.434534,-0.200000,-51.366633
26,Tm2,0.653777,0.390463,0.000000,1.000000,-48.434534,-0.200000,-51.366633
27,Tm20,0.349653,0.321234,0.000000,1.000000,-48.434534,-0.200000,-51.366633
28,Tm21,0.779854,0.501054,0.187929,1.000000,-48.434534,-0.200000,-51.366633
29,Tm3,0.479271,0.336392,0.000000,1.000000,-48.434534,-0.200000,-51.366633
30,Tm4,0.349653,0.321234,0.000000,1.000000,-48.434534,-0.200000,-51.366633
31,Tm9,0.541665,0.270130,0.000000,1.000000,-48.434534,-0.200000,-51.366633
