idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,R1,0.100057,0.556479,0.000000,0.100000,-50.762088,-0.291545,-43.640474
1,R2,0.265402,0.877701,0.000000,0.289794,-50.762088,-0.291545,-43.640474
2,R3,0.100000,1.384208,0.000000,11.107951,-50.762088,-0.291545,-43.640474
3,R4,0.660737,1.304436,0.000000,0.418059,-50.762088,-0.291545,-43.640474
4,R5,0.105899,1.190916,0.000000,0.100000,-50.762088,-0.291545,-43.640474
5,R6,0.102680,0.561895,0.000000,0.100000,-50.762088,-0.291545,-43.640474
6,R7,0.100000,3.123943,0.000000,4.568713,-50.762088,-0.291545,-43.640474
7,R8,3.373425,1.484981,0.000000,5.836166,-50.762088,-0.291545,-43.640474
8,L1,3.483995,2.121107,47.286687,1.584015,-50.762088,-0.291545,-43.640474
9,L2,3.884662,1.318391,46.471824,0.100000,-50.762088,-0.291545,-43.640474
10,L3,0.822184,2.176316,0.000000,0.100000,-50.762088,-0.291545,-43.640474
11,L4,2.631475,1.618116,0.410025,0.729809,-50.762088,-0.291545,-43.640474
12,L5,2.098675,0.566753,54.079788,1.993123,-50.762088,-0.291545,-43.640474
13,Lawf1,0.303434,0.304274,0.000000,0.309681,-50.762088,-0.291545,-43.640474
14,Lawf2,0.100000,0.667747,0.000000,7.646317,-50.762088,-0.291545,-43.640474
15,Am,5.314926,4.455196,0.000000,8.871529,-50.762088,-0.291545,-43.640474
16,C2,0.738191,0.538439,0.000000,5.164056,-50.762088,-0.291545,-43.640474
17,C3,1.983405,0.959552,0.000000,0.100000,-50.762088,-0.291545,-43.640474
18,CT1(Lo1),0.100000,0.100000,0.000000,0.100000,-50.762088,-0.291545,-43.640474
19,CT1(M10),5.283924,3.328725,0.000000,1.792477,-50.762088,-0.291545,-43.640474
20,Mi1,4.371650,2.440321,0.000000,0.100000,-50.762088,-0.291545,-43.640474
21,Mi2,0.100000,0.100000,0.000000,1.416038,-50.762088,-0.291545,-43.640474
22,Mi3,0.101655,0.101646,0.000000,6.484173,-50.762088,-0.291545,-43.640474
23,Mi4,1.420455,1.264294,0.000000,5.976667,-50.762088,-0.291545,-43.640474
24,Mi9,1.019579,1.231216,0.000000,2.135570,-50.762088,-0.291545,-43.640474
25,Mi10,0.527984,0.463714,0.000000,7.412326,-50.762088,-0.291545,-43.640474
26,Mi11,0.428671,0.533482,0.000000,5.308608,-50.762088,-0.291545,-43.640474
27,Mi12,6.767679,5.526865,0.000000,5.867531,-50.762088,-0.291545,-43.640474
28,Mi13,0.668753,0.673547,0.000000,2.416382,-50.762088,-0.291545,-43.640474
29,Mi14,7.078033,8.849759,0.000000,7.531466,-50.762088,-0.291545,-43.640474
30,Mi15,2.770009,2.594937,0.000000,3.856043,-50.762088,-0.291545,-43.640474
31,T1,0.100000,0.100000,0.000000,3.415219,-50.762088,-0.291545,-43.640474
32,T2,1.706913,0.901012,0.000000,6.887243,-50.762088,-0.291545,-43.640474
33,T2a,1.787615,2.237749,0.000000,1.314337,-50.762088,-0.291545,-43.640474
34,T3,0.698182,0.483719,0.000000,1.068868,-50.762088,-0.291545,-43.640474
