idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,0.790399,0.667536,0.000000,1.000000,-48.217992,-0.200000,-48.477548
1,C3,0.274517,0.633704,0.000000,1.000000,-48.217992,-0.200000,-48.477548
2,L1,0.676551,0.279035,0.000000,1.000000,-48.217992,-0.200000,-48.477548
3,L2,0.712903,0.669083,0.000000,1.000000,-48.217992,-0.200000,-48.477548
4,L3,0.353500,0.282032,0.000000,1.000000,-48.217992,-0.200000,-48.477548
5,L4,0.669274,0.664895,0.000000,1.000000,-48.217992,-0.200000,-48.477548
6,L5,0.274517,0.633704,0.000000,1.000000,-48.217992,-0.200000,-48.477548
7,Mi1,0.719604,0.748637,0.000000,1.000000,-48.217992,-0.200000,-48.477548
8,Mi4,0.719604,0.748637,0.000000,1.000000,-48.217992,-0.200000,-48.477548
9,Mi9,0.755429,0.679723,54.884078,1.000000,-48.217992,-0.200000,-48.477548
10,R1-6,0.346261,0.658230,47.390412,1.000000,-48.217992,-0.200000,-48.477548
11,R7,0.763783,0.667469,0.000000,1.000000,-48.217992,-0.200000,-48.477548
12,R8,0.692854,0.597553,0.000000,1.000000,-48.217992,-0.200000,-48.477548
13,T1,0.282399,0.600371,0.000000,1.000000,-48.217992,-0.200000,-48.477548
14,T2,0.302222,0.362646,0.000000,1.000000,-48.217992,-0.200000,-48.477548
15,T2a,0.694624,0.648822,0.000000,1.000000,-48.217992,-0.200000,-48.477548
16,T3,0.694624,0.648822,0.000000,1.000000,-48.217992,-0.200000,-48.477548
17,T4a,0.205444,0.621651,0.000000,1.000000,-48.217992,-0.200000,-48.477548
18,T4b,0.752921,0.668409,0.000000,1.000000,-48.217992,-0.200000,-48.477548
19,T4c,0.667051,0.387044,0.000000,1.000000,-48.217992,-0.200000,-48.477548
20,T4d,0.353372,0.748963,0.192297,1.000000,-48.217992,-0.200000,-48.477548
21,T5a,0.763783,0.667469,0.000000,1.000000,-48.217992,-0.200000,-48.477548
22,T5b,0.713882,0.316029,0.000000,1.000000,-48.217992,-0.200000,-48.477548
23,T5c,0.346261,0.658230,47.390412,1.000000,-48.217992,-0.200000,-48.477548
24,T5d,0.763783,0.667469,0.000000,1.000000,-48.217992,-0.200000,-48.477548
25,Tm1,0.653182,0.614559,0.000000,1.000000,-48.217992,-0.200000,-48.477548
26,Tm2,0.676551,0.279035,0.000000,1.000000,-48.217992,-0.200000,-48.477548
27,Tm20,0.302222,0.362646,0.000000,1.000000,-48.217992,-0.200000,-48.477548
28,Tm21,0.624803,0.415592,0.188535,1.000000,-48.217992,-0.200000,-48.477548
29,Tm3,0.377942,0.369574,0.000000,1.000000,-48.217992,-0.200000,-48.477548
30,Tm4,0.302222,0.362646,0.000000,1.000000,-48.217992,-0.200000,-48.477548
31,Tm9,0.353500,0.282032,0.000000,1.000000,-48.217992,-0.200000,-48.477548
