idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,0.910049,1.055571,0.000000,1.000000,-48.433063,-0.200000,-52.506796
1,C3,0.100000,1.046427,0.000000,1.000000,-48.433063,-0.200000,-52.506796
2,L1,0.907530,0.298859,0.000000,1.000000,-48.433063,-0.200000,-52.506796
3,L2,1.065772,0.989355,0.000000,1.000000,-48.433063,-0.200000,-52.506796
4,L3,0.628546,0.100000,0.000000,1.000000,-48.433063,-0.200000,-52.506796
5,L4,0.889244,1.051705,0.000000,1.000000,-48.433063,-0.200000,-52.506796
6,L5,0.100000,1.046427,0.000000,1.000000,-48.433063,-0.200000,-52.506796
7,Mi1,1.017585,0.909015,0.000000,1.000000,-48.433063,-0.200000,-52.506796
8,Mi4,1.017585,0.909015,0.000000,1.000000,-48.433063,-0.200000,-52.506796
9,Mi9,0.965916,1.023073,54.009213,1.000000,-48.433063,-0.200000,-52.506796
10,R1-6,0.151293,0.927853,46.139282,1.000000,-48.433063,-0.200000,-52.506796
11,R7,0.984442,0.963545,0.000000,1.000000,-48.433063,-0.200000,-52.506796
12,R8,0.824642,1.031765,0.000000,1.000000,-48.433063,-0.200000,-52.506796
13,T1,0.100000,0.951801,0.000000,1.000000,-48.433063,-0.200000,-52.506796
14,T2,0.100000,0.100000,0.000000,1.000000,-48.433063,-0.200000,-52.506796
15,T2a,0.952456,0.914185,0.000000,1.000000,-48.433063,-0.200000,-52.506796
16,T3,0.952456,0.914185,0.000000,1.000000,-48.433063,-0.200000,-52.506796
17,T4a,0.100000,0.920587,0.000000,1.000000,-48.433063,-0.200000,-52.506796
18,T4b,0.972361,0.915580,0.000000,1.000000,-48.433063,-0.200000,-52.506796
19,T4c,0.829626,0.100000,0.000000,1.000000,-48.433063,-0.200000,-52.506796
20,T4d,0.100000,0.940781,0.397632,1.000000,-48.433063,-0.200000,-52.506796
21,T5a,0.984442,0.963545,0.000000,1.000000,-48.433063,-0.200000,-52.506796
22,T5b,0.896488,0.157685,0.000000,1.000000,-48.433063,-0.200000,-52.506796
23,T5c,0.151293,0.927853,46.139282,1.000000,-48.433063,-0.200000,-52.506796
24,T5d,0.984442,0.963545,0.000000,1.000000,-48.433063,-0.200000,-52.506796
25,Tm1,1.019688,0.966856,0.000000,1.000000,-48.433063,-0.200000,-52.506796
26,Tm2,0.907530,0.298859,0.000000,1.000000,-48.433063,-0.200000,-52.506796
27,Tm20,0.100000,0.100000,0.000000,1.000000,-48.433063,-0.200000,-52.506796
28,Tm21,0.939331,0.443427,0.382261,1.000000,-48.433063,-0.200000,-52.506796
29,Tm3,0.797370,0.100000,0.000000,1.000000,-48.433063,-0.200000,-52.506796
30,Tm4,0.100000,0.100000,0.000000,1.000000,-48.433063,-0.200000,-52.506796
31,Tm9,0.628546,0.100000,0.000000,1.000000,-48.433063,-0.200000,-52.506796
