idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,1.863273,2.557277,0.000000,1.000000,-51.212686,-0.400000,-41.656868
1,C3,0.100000,3.625385,0.000000,1.000000,-51.212686,-0.400000,-41.656868
2,L1,1.901262,1.679193,0.000000,1.000000,-51.212686,-0.400000,-41.656868
3,L2,2.582963,1.835223,0.000000,1.000000,-51.212686,-0.400000,-41.656868
4,L3,2.097967,0.100000,0.000000,1.000000,-51.212686,-0.400000,-41.656868
5,L4,2.151389,4.524492,0.000000,1.000000,-51.212686,-0.400000,-41.656868
6,L5,0.100000,3.625385,0.000000,1.000000,-51.212686,-0.400000,-41.656868
7,Mi1,2.042098,2.456922,0.000000,1.000000,-51.212686,-0.400000,-41.656868
8,Mi4,2.042098,2.456922,0.000000,1.000000,-51.212686,-0.400000,-41.656868
9,Mi9,2.315792,1.474056,47.761130,1.000000,-51.212686,-0.400000,-41.656868
10,R1-6,2.071317,1.619256,44.613401,1.000000,-51.212686,-0.400000,-41.656868
11,R7,1.468708,0.158041,0.000000,1.000000,-51.212686,-0.400000,-41.656868
12,R8,1.611937,1.692214,0.000000,1.000000,-51.212686,-0.400000,-41.656868
13,T1,0.116998,2.633262,0.000000,1.000000,-51.212686,-0.400000,-41.656868
14,T2,2.029245,0.653114,0.000000,1.000000,-51.212686,-0.400000,-41.656868
15,T2a,1.433088,0.298994,0.000000,1.000000,-51.212686,-0.400000,-41.656868
16,T3,1.433088,0.298994,0.000000,1.000000,-51.212686,-0.400000,-41.656868
17,T4a,0.100000,2.865614,0.000000,1.000000,-51.212686,-0.400000,-41.656868
18,T4b,2.472570,2.035402,0.000000,1.000000,-51.212686,-0.400000,-41.656868
19,T4c,2.326744,0.100000,0.000000,1.000000,-51.212686,-0.400000,-41.656868
20,T4d,0.100000,1.579809,1.200120,1.000000,-51.212686,-0.400000,-41.656868
21,T5a,1.468708,0.158041,0.000000,1.000000,-51.212686,-0.400000,-41.656868
22,T5b,2.098866,0.100000,0.000000,1.000000,-51.212686,-0.400000,-41.656868
23,T5c,2.071317,1.619256,44.613401,1.000000,-51.212686,-0.400000,-41.656868
24,T5d,1.468708,0.158041,0.000000,1.000000,-51.212686,-0.400000,-41.656868
25,Tm1,2.004743,2.340994,0.000000,1.000000,-51.212686,-0.400000,-41.656868
26,Tm2,1.901262,1.679193,0.000000,1.000000,-51.212686,-0.400000,-41.656868
27,Tm20,2.029245,0.653114,0.000000,1.000000,-51.212686,-0.400000,-41.656868
28,Tm21,4.161003,5.373357,0.828631,1.000000,-51.212686,-0.400000,-41.656868
29,Tm3,2.228748,0.400227,0.000000,1.000000,-51.212686,-0.400000,-41.656868
30,Tm4,2.029245,0.653114,0.000000,1.000000,-51.212686,-0.400000,-41.656868
31,Tm9,2.097967,0.100000,0.000000,1.000000,-51.212686,-0.400000,-41.656868
