idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,0.866520,1.028001,0.000000,1.000000,-48.823152,-0.200000,-48.682745
1,C3,0.100000,1.018309,0.000000,1.000000,-48.823152,-0.200000,-48.682745
2,L1,0.929644,0.209495,0.000000,1.000000,-48.823152,-0.200000,-48.682745
3,L2,1.009801,1.015659,0.000000,1.000000,-48.823152,-0.200000,-48.682745
4,L3,0.611241,0.100000,0.000000,1.000000,-48.823152,-0.200000,-48.682745
5,L4,1.024775,0.957716,0.000000,1.000000,-48.823152,-0.200000,-48.682745
6,L5,0.100000,1.018309,0.000000,1.000000,-48.823152,-0.200000,-48.682745
7,Mi1,0.933941,1.051776,0.000000,1.000000,-48.823152,-0.200000,-48.682745
8,Mi4,0.933941,1.051776,0.000000,1.000000,-48.823152,-0.200000,-48.682745
9,Mi9,1.009154,0.889954,51.216338,1.000000,-48.823152,-0.200000,-48.682745
10,R1-6,0.113233,0.983688,50.508082,1.000000,-48.823152,-0.200000,-48.682745
11,R7,0.834414,0.991798,0.000000,1.000000,-48.823152,-0.200000,-48.682745
12,R8,0.935271,1.018856,0.000000,1.000000,-48.823152,-0.200000,-48.682745
13,T1,0.100000,0.897589,0.000000,1.000000,-48.823152,-0.200000,-48.682745
14,T2,0.100000,0.100000,0.000000,1.000000,-48.823152,-0.200000,-48.682745
15,T2a,0.832388,1.031156,0.000000,1.000000,-48.823152,-0.200000,-48.682745
16,T3,0.832388,1.031156,0.000000,1.000000,-48.823152,-0.200000,-48.682745
17,T4a,0.100000,0.981196,0.000000,1.000000,-48.823152,-0.200000,-48.682745
18,T4b,0.906422,0.889787,0.000000,1.000000,-48.823152,-0.200000,-48.682745
19,T4c,0.991491,0.100000,0.000000,1.000000,-48.823152,-0.200000,-48.682745
20,T4d,0.100000,0.949248,0.400114,1.000000,-48.823152,-0.200000,-48.682745
21,T5a,0.834414,0.991798,0.000000,1.000000,-48.823152,-0.200000,-48.682745
22,T5b,0.961712,0.181636,0.000000,1.000000,-48.823152,-0.200000,-48.682745
23,T5c,0.113233,0.983688,50.508082,1.000000,-48.823152,-0.200000,-48.682745
24,T5d,0.834414,0.991798,0.000000,1.000000,-48.823152,-0.200000,-48.682745
25,Tm1,0.937363,0.965558,0.000000,1.000000,-48.823152,-0.200000,-48.682745
26,Tm2,0.929644,0.209495,0.000000,1.000000,-48.823152,-0.200000,-48.682745
27,Tm20,0.100000,0.100000,0.000000,1.000000,-48.823152,-0.200000,-48.682745
28,Tm21,0.955190,0.727249,0.376848,1.000000,-48.823152,-0.200000,-48.682745
29,Tm3,0.480169,0.100000,0.000000,1.000000,-48.823152,-0.200000,-48.682745
30,Tm4,0.100000,0.100000,0.000000,1.000000,-48.823152,-0.200000,-48.682745
31,Tm9,0.611241,0.100000,0.000000,1.000000,-48.823152,-0.200000,-48.682745
