idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,1.929410,2.482854,0.000000,1.000000,-52.309042,-0.400000,-41.275978
1,C3,0.100000,3.074571,0.000000,1.000000,-52.309042,-0.400000,-41.275978
2,L1,1.891390,1.623437,0.000000,1.000000,-52.309042,-0.400000,-41.275978
3,L2,2.689483,2.102145,0.000000,1.000000,-52.309042,-0.400000,-41.275978
4,L3,2.126922,0.100000,0.000000,1.000000,-52.309042,-0.400000,-41.275978
5,L4,2.000886,5.380757,0.000000,1.000000,-52.309042,-0.400000,-41.275978
6,L5,0.100000,3.074571,0.000000,1.000000,-52.309042,-0.400000,-41.275978
7,Mi1,2.073909,2.388833,0.000000,1.000000,-52.309042,-0.400000,-41.275978
8,Mi4,2.073909,2.388833,0.000000,1.000000,-52.309042,-0.400000,-41.275978
9,Mi9,2.141416,1.267757,54.816688,1.000000,-52.309042,-0.400000,-41.275978
10,R1-6,2.447005,1.655291,50.151800,1.000000,-52.309042,-0.400000,-41.275978
11,R7,1.378553,0.100000,0.000000,1.000000,-52.309042,-0.400000,-41.275978
12,R8,1.498046,1.857903,0.000000,1.000000,-52.309042,-0.400000,-41.275978
13,T1,0.100000,2.700678,0.000000,1.000000,-52.309042,-0.400000,-41.275978
14,T2,2.323393,0.730892,0.000000,1.000000,-52.309042,-0.400000,-41.275978
15,T2a,1.425395,0.618441,0.000000,1.000000,-52.309042,-0.400000,-41.275978
16,T3,1.425395,0.618441,0.000000,1.000000,-52.309042,-0.400000,-41.275978
17,T4a,0.108050,2.679914,0.000000,1.000000,-52.309042,-0.400000,-41.275978
18,T4b,2.465772,2.109672,0.000000,1.000000,-52.309042,-0.400000,-41.275978
19,T4c,2.447030,0.100000,0.000000,1.000000,-52.309042,-0.400000,-41.275978
20,T4d,0.174677,1.700594,1.052998,1.000000,-52.309042,-0.400000,-41.275978
21,T5a,1.378553,0.100000,0.000000,1.000000,-52.309042,-0.400000,-41.275978
22,T5b,1.894835,0.100000,0.000000,1.000000,-52.309042,-0.400000,-41.275978
23,T5c,2.447005,1.655291,50.151800,1.000000,-52.309042,-0.400000,-41.275978
24,T5d,1.378553,0.100000,0.000000,1.000000,-52.309042,-0.400000,-41.275978
25,Tm1,1.956255,2.494892,0.000000,1.000000,-52.309042,-0.400000,-41.275978
26,Tm2,1.891390,1.623437,0.000000,1.000000,-52.309042,-0.400000,-41.275978
27,Tm20,2.323393,0.730892,0.000000,1.000000,-52.309042,-0.400000,-41.275978
28,Tm21,3.916098,5.034612,0.183245,1.000000,-52.309042,-0.400000,-41.275978
29,Tm3,2.352330,0.270093,0.000000,1.000000,-52.309042,-0.400000,-41.275978
30,Tm4,2.323393,0.730892,0.000000,1.000000,-52.309042,-0.400000,-41.275978
31,Tm9,2.126922,0.100000,0.000000,1.000000,-52.309042,-0.400000,-41.275978
