idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,R1,0.259792,0.624270,0.000000,1.198913,-49.087005,-0.200000,-47.867128
1,R2,0.231048,0.663429,0.000000,1.199213,-49.087005,-0.200000,-47.867128
2,R3,0.311066,0.724700,0.000000,0.800041,-49.087005,-0.200000,-47.867128
3,R4,0.351043,0.664014,0.000000,0.800129,-49.087005,-0.200000,-47.867128
4,R5,0.333034,0.725349,0.000000,1.199343,-49.087005,-0.200000,-47.867128
5,R6,0.232410,0.645856,0.000000,1.190438,-49.087005,-0.200000,-47.867128
6,R7,0.274633,0.604707,0.000000,0.958554,-49.087005,-0.200000,-47.867128
7,R8,0.345459,0.696277,0.000000,1.200102,-49.087005,-0.200000,-47.867128
8,L1,0.662128,0.654817,48.243034,1.199620,-49.087005,-0.200000,-47.867128
9,L2,0.728912,0.337683,54.519738,1.200074,-49.087005,-0.200000,-47.867128
10,L3,0.645194,0.651939,0.000000,0.803497,-49.087005,-0.200000,-47.867128
11,L4,0.627169,0.376552,0.000000,0.973886,-49.087005,-0.200000,-47.867128
12,L5,0.683735,0.359526,49.695540,1.149840,-49.087005,-0.200000,-47.867128
13,Lawf1,0.396778,0.375827,0.000000,0.800244,-49.087005,-0.200000,-47.867128
14,Lawf2,0.394259,0.601796,0.000000,0.802245,-49.087005,-0.200000,-47.867128
15,Am,0.742113,0.632133,0.000000,0.799901,-49.087005,-0.200000,-47.867128
16,C2,0.287449,0.222691,0.000000,1.200131,-49.087005,-0.200000,-47.867128
17,C3,0.792088,0.708852,0.000000,0.812006,-49.087005,-0.200000,-47.867128
18,CT1(Lo1),0.354391,0.205036,0.000000,0.826743,-49.087005,-0.200000,-47.867128
19,CT1(M10),0.401733,0.355384,0.000000,1.199609,-49.087005,-0.200000,-47.867128
20,Mi1,0.630398,0.709649,0.000000,1.199105,-49.087005,-0.200000,-47.867128
21,Mi2,0.221772,0.226707,0.000000,0.861553,-49.087005,-0.200000,-47.867128
22,Mi3,0.617528,0.648915,0.000000,0.805059,-49.087005,-0.200000,-47.867128
23,Mi4,0.660886,0.665283,0.000000,1.194592,-49.087005,-0.200000,-47.867128
24,Mi9,0.752163,0.773724,0.000000,1.199855,-49.087005,-0.200000,-47.867128
25,Mi10,0.447151,0.438219,0.000000,1.185156,-49.087005,-0.200000,-47.867128
26,Mi11,0.555335,0.592837,0.000000,1.200040,-49.087005,-0.200000,-47.867128
27,Mi12,0.607357,0.674613,0.000000,1.200030,-49.087005,-0.200000,-47.867128
28,Mi13,0.619811,0.756417,0.000000,1.200075,-49.087005,-0.200000,-47.867128
29,Mi14,0.670217,0.632654,0.000000,1.200136,-49.087005,-0.200000,-47.867128
30,Mi15,0.797599,0.721043,0.000000,1.188476,-49.087005,-0.200000,-47.867128
31,T1,0.633031,0.736564,0.000000,1.200134,-49.087005,-0.200000,-47.867128
32,T2,0.231589,0.231537,0.000000,1.198058,-49.087005,-0.200000,-47.867128
33,T2a,0.367632,0.348362,0.000000,1.199117,-49.087005,-0.200000,-47.867128
34,T3,0.225314,0.307265,0.000000,1.199039,-49.087005,-0.200000,-47.867128
35,T4a,0.285321,0.345772,0.000000,1.199920,-49.087005,-0.200000,-47.867128
36,T4b,0.520971,0.510608,0.000000,1.199587,-49.087005,-0.200000,-47.867128
37,T4c,0.524287,0.425957,0.000000,1.199953,-49.087005,-0.200000,-47.867128
38,T4d,0.682671,0.705298,0.000000,1.198523,-49.087005,-0.200000,-47.867128
39,T5a,0.341928,0.295030,0.000000,0.800244,-49.087005,-0.200000,-47.867128
40,T5b,0.377745,0.206944,0.000000,0.802245,-49.087005,-0.200000,-47.867128
41,T5c,0.282875,0.275771,0.000000,0.799901,-49.087005,-0.200000,-47.867128
42,T5d,0.225454,0.366006,0.000000,1.200131,-49.087005,-0.200000,-47.867128
43,Tm1,0.551265,0.267147,0.000000,0.812006,-49.087005,-0.200000,-47.867128
44,Tm2,0.360140,0.373853,0.000000,0.826743,-49.087005,-0.200000,-47.867128
45,Tm3,0.786608,0.757956,0.000000,1.199609,-49.087005,-0.200000,-47.867128
