idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,0.709848,0.749103,0.000000,1.000000,-50.954009,-0.200000,-49.906968
1,C3,0.253874,0.659391,0.000000,1.000000,-50.954009,-0.200000,-49.906968
2,L1,0.610660,0.213940,0.000000,1.000000,-50.954009,-0.200000,-49.906968
3,L2,0.700716,0.786442,0.000000,1.000000,-50.954009,-0.200000,-49.906968
4,L3,0.386467,0.232757,0.000000,1.000000,-50.954009,-0.200000,-49.906968
5,L4,0.640826,0.635138,0.000000,1.000000,-50.954009,-0.200000,-49.906968
6,L5,0.253874,0.659391,0.000000,1.000000,-50.954009,-0.200000,-49.906968
7,Mi1,0.656041,0.736752,0.000000,1.000000,-50.954009,-0.200000,-49.906968
8,Mi4,0.656041,0.736752,0.000000,1.000000,-50.954009,-0.200000,-49.906968
9,Mi9,0.635478,0.733451,48.683936,1.000000,-50.954009,-0.200000,-49.906968
10,R1-6,0.344727,0.624683,49.711900,1.000000,-50.954009,-0.200000,-49.906968
11,R7,0.600100,0.766819,0.000000,1.000000,-50.954009,-0.200000,-49.906968
12,R8,0.593141,0.665524,0.000000,1.000000,-50.954009,-0.200000,-49.906968
13,T1,0.370071,0.767738,0.000000,1.000000,-50.954009,-0.200000,-49.906968
14,T2,0.274043,0.348921,0.000000,1.000000,-50.954009,-0.200000,-49.906968
15,T2a,0.663812,0.677004,0.000000,1.000000,-50.954009,-0.200000,-49.906968
16,T3,0.663812,0.677004,0.000000,1.000000,-50.954009,-0.200000,-49.906968
17,T4a,0.314209,0.760295,0.000000,1.000000,-50.954009,-0.200000,-49.906968
18,T4b,0.638691,0.744977,0.000000,1.000000,-50.954009,-0.200000,-49.906968
19,T4c,0.608323,0.236364,0.000000,1.000000,-50.954009,-0.200000,-49.906968
20,T4d,0.389217,0.745063,0.194706,1.000000,-50.954009,-0.200000,-49.906968
21,T5a,0.600100,0.766819,0.000000,1.000000,-50.954009,-0.200000,-49.906968
22,T5b,0.637878,0.273805,0.000000,1.000000,-50.954009,-0.200000,-49.906968
23,T5c,0.344727,0.624683,49.711900,1.000000,-50.954009,-0.200000,-49.906968
24,T5d,0.600100,0.766819,0.000000,1.000000,-50.954009,-0.200000,-49.906968
25,Tm1,0.792322,0.684770,0.000000,1.000000,-50.954009,-0.200000,-49.906968
26,Tm2,0.610660,0.213940,0.000000,1.000000,-50.954009,-0.200000,-49.906968
27,Tm20,0.274043,0.348921,0.000000,1.000000,-50.954009,-0.200000,-49.906968
28,Tm21,0.654933,0.417905,0.188633,1.000000,-50.954009,-0.200000,-49.906968
29,Tm3,0.394500,0.235979,0.000000,1.000000,-50.954009,-0.200000,-49.906968
30,Tm4,0.274043,0.348921,0.000000,1.000000,-50.954009,-0.200000,-49.906968
31,Tm9,0.386467,0.232757,0.000000,1.000000,-50.954009,-0.200000,-49.906968
